"Reference","Qty","Description","DIGIKEY_PART"
"U1","1","TL072 DIP-8/SOIC-8","296-7194-1-ND"
"R4,R8","2","1/4W Thin-Film Resistor, 1% Tolerance","311-47.0FRCT-ND"
"R3,R7","2","1/4W Thin-Film Resistor, 1% Tolerance","311-100FRCT-ND"
"R2,R6","2","1/4W Thin-Film Resistor, 1% Tolerance","311-100KFRCT-ND"
"R1,R5","2","1/4W Thin-Film Resistor, 1% Tolerance","311-1.00KFRCT-ND"
"J7","1","10 Position 2x5 Shrouded IDC Header, 2.54MM pitch","SBH11-PBPC-D05-ST-BK"
"J3,J6","2","SMA-F bulkhead connector ","ACX1976-ND"
"J1,J2,J4,J5","4","Thonkiconn 3.5mm Jack (PJ398SM)","NOT DIGIKEY PRODUCT"
"FB1,FB2,FB3,FB4","4","Ferrite bead","1934-1489-1-ND"
"D6,D8","2","Transient Voltage Suppression diode","D12V0H1U2WS-7DICT-ND"
"D5,D7","2","Schottky diode","NSR0530HT1GOSCT-ND"
"D1,D2,D3,D4","4","Transient Voltage Suppression diode","3757-PJGBLC15C_R1_00001CT-ND"
"C2,C3","2","Unpolarized ceramic capacitor","4713-GMT31X5R106K50NT2CT-ND"
"C1,C4","2","Polarized aluminum electrolytic capacitor","P14488-ND"
